epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5254.34,1.41177,1.51149,1.6767,0.54081,0.56905,0.59241,0.26877,1.81827,1.6345,1.96114,0.000675546,0.000675546,0.000675546
43,5361.97,1.4081,1.4722,1.6625,0.48989,0.5802,0.55482,0.2389,1.92727,1.63556,2.00736,0.00066191,0.00066191,0.00066191
44,5469.02,1.41677,1.45375,1.66842,0.54988,0.60038,0.59982,0.26421,1.86795,1.58187,1.98623,0.000648164,0.000648164,0.000648164
45,5576.25,1.39409,1.45048,1.65138,0.58282,0.5704,0.62008,0.29072,1.73413,1.57801,1.90746,0.000634322,0.000634322,0.000634322
46,5683.66,1.40558,1.45869,1.65424,0.60919,0.56852,0.60622,0.27338,1.82125,1.54283,1.96539,0.000620396,0.000620396,0.000620396
47,5791.49,1.40229,1.45849,1.65609,0.62578,0.66644,0.68711,0.32156,1.70271,1.41413,1.84846,0.0006064,0.0006064,0.0006064
48,5898.79,1.40017,1.4402,1.65046,0.55764,0.60924,0.64046,0.28657,1.76336,1.55497,1.91279,0.000592349,0.000592349,0.000592349
49,6006.6,1.37256,1.41976,1.63585,0.52322,0.57724,0.58045,0.25967,1.8108,1.61059,1.92542,0.000578256,0.000578256,0.000578256
50,6113.79,1.38346,1.42914,1.64466,0.61946,0.64353,0.67756,0.3105,1.77585,1.45336,1.91046,0.000564135,0.000564135,0.000564135
51,6221.29,1.39078,1.43004,1.6459,0.56068,0.53914,0.57417,0.24743,1.87434,1.70392,2.01664,0.00055,0.00055,0.00055
52,6398.38,1.37217,1.4048,1.63748,0.59794,0.60726,0.62804,0.29627,1.76972,1.50775,1.9078,0.000535865,0.000535865,0.000535865
53,6585.09,1.36803,1.3895,1.62396,0.58821,0.55455,0.59795,0.26866,1.84312,1.6084,1.98313,0.000521744,0.000521744,0.000521744
54,6759.32,1.37377,1.39566,1.62765,0.63537,0.63703,0.6863,0.31526,1.76136,1.41491,1.88994,0.000507651,0.000507651,0.000507651
55,6866.74,1.37123,1.39241,1.62817,0.55485,0.59725,0.63073,0.29369,1.73601,1.50206,1.90502,0.0004936,0.0004936,0.0004936
56,6974.53,1.39108,1.40047,1.64698,0.57851,0.60461,0.63644,0.28963,1.84031,1.47811,1.95841,0.000479604,0.000479604,0.000479604
57,7081.75,1.36813,1.38864,1.63416,0.59327,0.59021,0.65371,0.29716,1.77514,1.56642,1.92167,0.000465678,0.000465678,0.000465678
58,7189.03,1.3611,1.37317,1.61812,0.63127,0.605,0.66991,0.31471,1.7391,1.48889,1.9036,0.000451836,0.000451836,0.000451836
59,7296.28,1.36585,1.35525,1.61216,0.60272,0.61977,0.65669,0.31168,1.74676,1.465,1.90997,0.00043809,0.00043809,0.00043809
60,7404.16,1.3424,1.35479,1.61529,0.58252,0.63049,0.66249,0.31021,1.76364,1.4467,1.9089,0.000424454,0.000424454,0.000424454
61,7511.86,1.33759,1.3422,1.61145,0.52705,0.55832,0.57339,0.25081,1.87972,1.59956,1.99565,0.000410942,0.000410942,0.000410942
62,7619.17,1.33627,1.33156,1.59711,0.60539,0.61967,0.66175,0.30665,1.7866,1.44487,1.93717,0.000397568,0.000397568,0.000397568
63,7726.44,1.33687,1.33387,1.60157,0.53435,0.61474,0.61658,0.27169,1.82441,1.4988,1.95186,0.000384344,0.000384344,0.000384344
64,7833.22,1.32072,1.3254,1.58574,0.58249,0.6022,0.61873,0.25805,1.90742,1.51451,2.03448,0.000371283,0.000371283,0.000371283
65,7939.67,1.31484,1.30932,1.58148,0.65632,0.63737,0.68953,0.33285,1.70108,1.38138,1.85617,0.000358399,0.000358399,0.000358399
66,8046.86,1.32203,1.30569,1.5846,0.57099,0.59538,0.63622,0.30248,1.78269,1.48316,1.92769,0.000345704,0.000345704,0.000345704
67,8234.93,1.32402,1.2832,1.58455,0.58287,0.61701,0.64686,0.30595,1.79063,1.45051,1.92614,0.000333211,0.000333211,0.000333211
68,8451.43,1.31936,1.31777,1.59339,0.6378,0.6471,0.69831,0.34601,1.69903,1.35601,1.86464,0.000320931,0.000320931,0.000320931
69,8592.98,1.297,1.26026,1.57149,0.61718,0.64608,0.68594,0.34168,1.68943,1.34875,1.85575,0.000308878,0.000308878,0.000308878
70,8700.35,1.30424,1.27849,1.57362,0.57,0.5882,0.61518,0.29033,1.80633,1.51426,1.95545,0.000297062,0.000297062,0.000297062
71,8808,1.30667,1.27604,1.57311,0.62672,0.64901,0.69026,0.33463,1.74667,1.34954,1.88428,0.000285497,0.000285497,0.000285497
72,8915.55,1.3005,1.25008,1.56883,0.63404,0.62045,0.66303,0.29427,1.87366,1.42126,2.00605,0.000274192,0.000274192,0.000274192
73,9022.58,1.29727,1.25387,1.57263,0.60322,0.62502,0.65775,0.30418,1.79811,1.41104,1.93817,0.000263159,0.000263159,0.000263159
74,9130.25,1.2876,1.25025,1.56373,0.63302,0.61187,0.65812,0.30897,1.76746,1.43952,1.92734,0.00025241,0.00025241,0.00025241
75,9237.39,1.28323,1.25119,1.561,0.60199,0.63004,0.66492,0.31869,1.75338,1.38079,1.91122,0.000241954,0.000241954,0.000241954
76,9343.81,1.27796,1.22714,1.55507,0.6116,0.60676,0.65859,0.3073,1.78065,1.41653,1.93158,0.000231802,0.000231802,0.000231802
77,9450.01,1.26932,1.22191,1.55102,0.64761,0.62173,0.67231,0.31418,1.79469,1.38182,1.9322,0.000221964,0.000221964,0.000221964
78,9556.82,1.26306,1.21003,1.54176,0.60752,0.62262,0.6543,0.30017,1.80588,1.43324,1.95117,0.00021245,0.00021245,0.00021245
79,9663.37,1.26496,1.1915,1.54367,0.63777,0.61895,0.66683,0.31047,1.78858,1.39132,1.93554,0.000203269,0.000203269,0.000203269
80,9770.15,1.26587,1.20314,1.54927,0.65973,0.64033,0.68763,0.32973,1.75849,1.35631,1.92791,0.00019443,0.00019443,0.00019443
81,9877.07,1.26218,1.21292,1.54598,0.59301,0.66372,0.67825,0.32908,1.74287,1.34836,1.91455,0.000185942,0.000185942,0.000185942
82,10118.2,1.25486,1.20027,1.54236,0.6242,0.65936,0.67838,0.32505,1.77219,1.35098,1.92768,0.000177814,0.000177814,0.000177814
83,10324.3,1.24998,1.19151,1.537,0.63026,0.65346,0.68845,0.32485,1.77789,1.34464,1.92393,0.000170052,0.000170052,0.000170052
84,10431.4,1.24836,1.18079,1.53327,0.64004,0.65052,0.68329,0.32182,1.77669,1.36604,1.94121,0.000162666,0.000162666,0.000162666
85,10538.7,1.24928,1.18499,1.53349,0.6651,0.60718,0.67951,0.33115,1.71446,1.34624,1.88019,0.000155662,0.000155662,0.000155662
86,10646.2,1.24152,1.16911,1.53097,0.65144,0.62482,0.67984,0.32685,1.74499,1.34923,1.90703,0.000149047,0.000149047,0.000149047
87,10753.4,1.24057,1.17127,1.53039,0.6013,0.60709,0.6418,0.29407,1.82585,1.44091,1.97303,0.000142828,0.000142828,0.000142828
88,10861,1.22783,1.16581,1.52216,0.63309,0.62257,0.66387,0.30547,1.79676,1.41008,1.95307,0.00013701,0.00013701,0.00013701
89,10968.5,1.23289,1.16152,1.5231,0.62404,0.59626,0.64819,0.29716,1.81785,1.42718,1.95965,0.000131601,0.000131601,0.000131601
90,11075.3,1.21204,1.1565,1.51417,0.63018,0.63977,0.67629,0.31854,1.75422,1.37605,1.91482,0.000126604,0.000126604,0.000126604
91,11198.9,1.2749,1.1479,1.64537,0.62905,0.60745,0.65471,0.30843,1.80945,1.37388,1.94835,0.000122025,0.000122025,0.000122025
92,11305.5,1.23955,1.04304,1.60889,0.62028,0.57526,0.62893,0.28539,1.86285,1.44749,1.99456,0.000117868,0.000117868,0.000117868
93,11412.8,1.21919,1.02976,1.60142,0.60461,0.58011,0.61602,0.27209,1.88548,1.48258,2.02369,0.000114138,0.000114138,0.000114138
94,11520.5,1.21251,1.03326,1.59928,0.57586,0.59978,0.6117,0.27482,1.87033,1.47301,2.02233,0.000110837,0.000110837,0.000110837
95,11628,1.20428,1.01791,1.60165,0.63152,0.60943,0.65208,0.30394,1.80597,1.41,1.96214,0.000107971,0.000107971,0.000107971
96,11816.4,1.19347,1.00514,1.59531,0.61459,0.61262,0.66393,0.31735,1.7737,1.35748,1.94356,0.00010554,0.00010554,0.00010554
97,12023.8,1.19353,0.9913,1.59119,0.64019,0.57521,0.6522,0.30569,1.80536,1.40714,1.97619,0.000103548,0.000103548,0.000103548
98,12177.3,1.18995,1.01736,1.59078,0.57604,0.60365,0.62585,0.28803,1.82434,1.46365,1.99298,0.000101997,0.000101997,0.000101997
99,12284,1.20558,1.0133,1.60248,0.63124,0.59011,0.63802,0.29918,1.80662,1.41962,1.98114,0.000100888,0.000100888,0.000100888
100,12390.1,1.18959,0.9984,1.58694,0.56468,0.62863,0.63122,0.28418,1.84839,1.47424,2.01298,0.000100222,0.000100222,0.000100222
