epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19637,0.72793,0.6894,1.07019,0.91049,0.70432,0.80901,0.68373,0.57023,0.64619,0.46978,0.0005941,0.0005941,0.0005941
43,20125.9,0.72785,0.68576,1.07043,0.91606,0.69236,0.81325,0.64709,0.61016,0.56494,0.4943,0.0005842,0.0005842,0.0005842
44,20612.9,0.73633,0.69296,1.07436,0.91896,0.69767,0.81813,0.68444,0.58672,0.59424,0.47566,0.0005743,0.0005743,0.0005743
45,21102,0.72942,0.68323,1.07592,0.92413,0.71096,0.81973,0.68458,0.59498,0.59647,0.4808,0.0005644,0.0005644,0.0005644
46,21590,0.72688,0.68865,1.072,0.90864,0.72558,0.82827,0.686,0.6369,0.60103,0.49453,0.0005545,0.0005545,0.0005545
47,22086.6,0.70494,0.65469,1.05668,0.90996,0.71628,0.82144,0.68386,0.61741,0.61052,0.4951,0.0005446,0.0005446,0.0005446
48,22566.9,0.71507,0.68032,1.06861,0.91317,0.7058,0.82031,0.68304,0.58999,0.59972,0.47632,0.0005347,0.0005347,0.0005347
49,22995.1,0.6968,0.66197,1.05896,0.89729,0.65591,0.78632,0.67328,0.58406,0.58536,0.4802,0.0005248,0.0005248,0.0005248
50,23508.4,0.71101,0.6616,1.06348,0.90485,0.714,0.82698,0.69108,0.59264,0.5654,0.47106,0.0005149,0.0005149,0.0005149
51,24006.3,0.717,0.6632,1.0661,0.79674,0.71365,0.7989,0.67035,0.61128,0.60226,0.47595,0.000505,0.000505,0.000505
52,24481,0.71206,0.66339,1.05681,0.84776,0.72824,0.82051,0.68582,0.56701,0.56205,0.45699,0.0004951,0.0004951,0.0004951
53,24958.7,0.71159,0.66305,1.06547,0.84432,0.70897,0.81123,0.67705,0.59124,0.65837,0.4666,0.0004852,0.0004852,0.0004852
54,25435.7,0.68523,0.64501,1.05496,0.91399,0.72017,0.83082,0.68989,0.60559,0.57712,0.47662,0.0004753,0.0004753,0.0004753
55,25916.7,0.69351,0.64328,1.05804,0.91836,0.72497,0.83996,0.69282,0.62197,0.59254,0.48067,0.0004654,0.0004654,0.0004654
56,26400.8,0.68955,0.63586,1.05613,0.87712,0.68771,0.81683,0.68595,0.5935,0.57724,0.47582,0.0004555,0.0004555,0.0004555
57,26885.2,0.68777,0.63921,1.05283,0.84114,0.70166,0.81486,0.68461,0.60967,0.59207,0.4879,0.0004456,0.0004456,0.0004456
58,27357.7,0.68862,0.62871,1.05071,0.91408,0.72104,0.82881,0.68997,0.5987,0.57735,0.47675,0.0004357,0.0004357,0.0004357
59,27835.1,0.68378,0.62553,1.05136,0.90682,0.73621,0.84071,0.6965,0.59494,0.54722,0.464,0.0004258,0.0004258,0.0004258
60,28319.6,0.67624,0.62353,1.04853,0.90481,0.72634,0.83948,0.69688,0.62952,0.5299,0.46171,0.0004159,0.0004159,0.0004159
61,28800.7,0.67259,0.62632,1.04857,0.92465,0.72027,0.83727,0.69569,0.62983,0.52549,0.46624,0.000406,0.000406,0.000406
62,29281,0.68503,0.63123,1.0488,0.93815,0.71562,0.83835,0.69463,0.60528,0.53802,0.4622,0.0003961,0.0003961,0.0003961
63,29763.9,0.68726,0.62131,1.04578,0.93532,0.71694,0.83781,0.69678,0.61452,0.55683,0.47747,0.0003862,0.0003862,0.0003862
64,30247.9,0.6673,0.61671,1.0387,0.91619,0.72625,0.83735,0.69448,0.61852,0.53323,0.4725,0.0003763,0.0003763,0.0003763
65,30729.9,0.65409,0.60205,1.04025,0.93417,0.70718,0.835,0.69553,0.64464,0.5354,0.47616,0.0003664,0.0003664,0.0003664
66,31211.8,0.65859,0.5987,1.03754,0.90589,0.72278,0.83362,0.69635,0.64224,0.55344,0.47484,0.0003565,0.0003565,0.0003565
67,31693,0.67449,0.61064,1.04428,0.9166,0.73027,0.83904,0.6967,0.60371,0.5579,0.48193,0.0003466,0.0003466,0.0003466
68,32169.2,0.66368,0.60892,1.03973,0.88407,0.75415,0.84276,0.699,0.58892,0.56061,0.48038,0.0003367,0.0003367,0.0003367
69,32646.7,0.66242,0.60422,1.04063,0.91602,0.74153,0.84337,0.6972,0.59368,0.56038,0.48226,0.0003268,0.0003268,0.0003268
70,33127.8,0.66876,0.61221,1.04124,0.9177,0.74829,0.84789,0.70205,0.60385,0.57542,0.483,0.0003169,0.0003169,0.0003169
71,33609.6,0.64159,0.58533,1.03562,0.92123,0.73828,0.84582,0.70045,0.59185,0.58395,0.48038,0.000307,0.000307,0.000307
