epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.837,2.44345,2.97298,1.70767,0.19832,0.22734,0.13413,0.04716,2.412,2.66741,1.64473,0.0670346,0.000332984,0.000332984
2,214.139,2.30418,2.46637,1.62723,0.21732,0.31486,0.15772,0.05754,2.23016,2.4958,1.6873,0.034028,0.000659721,0.000659721
3,324.17,2.25318,2.37782,1.62877,0.2691,0.35793,0.17501,0.06672,2.19662,2.68263,1.67897,0.00101476,0.000979858,0.000979858
4,427.138,2.18063,2.21777,1.56635,0.27156,0.40371,0.24988,0.08429,2.22163,2.21573,1.67284,0.0009703,0.0009703,0.0009703
5,531.085,2.13713,2.17117,1.54649,0.3767,0.43685,0.26196,0.10533,2.02624,2.34593,1.53787,0.0009604,0.0009604,0.0009604
6,632.661,2.12382,2.15305,1.52927,0.30737,0.40358,0.2614,0.10285,2.05482,2.21833,1.54717,0.0009505,0.0009505,0.0009505
7,735.09,2.08554,2.05483,1.50937,0.35563,0.47812,0.27761,0.11739,2.08133,2.61714,1.52989,0.0009406,0.0009406,0.0009406
8,834.863,2.06788,2.02235,1.49192,0.30515,0.46669,0.26954,0.10663,2.07597,2.55102,1.53089,0.0009307,0.0009307,0.0009307
9,934.971,2.00268,1.95975,1.45507,0.44992,0.40037,0.36493,0.15123,1.99717,2.01199,1.48226,0.0009208,0.0009208,0.0009208
10,1037.49,2.02909,1.96958,1.48445,0.42501,0.44889,0.36386,0.14264,2.03887,1.90237,1.49348,0.0009109,0.0009109,0.0009109
11,1137.46,2.01436,1.92158,1.46315,0.37398,0.44314,0.30222,0.13113,1.93437,2.02747,1.44176,0.000901,0.000901,0.000901
12,1241.34,1.9902,1.89288,1.44338,0.48214,0.43432,0.35042,0.14601,1.98249,1.78755,1.47879,0.0008911,0.0008911,0.0008911
13,1340.74,1.95634,1.84237,1.43069,0.48581,0.48312,0.48553,0.19309,1.99214,1.69325,1.50204,0.0008812,0.0008812,0.0008812
14,1439.58,1.94188,1.78045,1.41524,0.4362,0.41495,0.38011,0.15357,1.98302,1.73735,1.52349,0.0008713,0.0008713,0.0008713
15,1537.22,1.93112,1.79271,1.40704,0.45304,0.44868,0.41286,0.18054,1.95677,1.70454,1.49725,0.0008614,0.0008614,0.0008614
16,1634.87,1.91804,1.79479,1.41548,0.44204,0.48662,0.4053,0.17331,1.93568,1.77011,1.46094,0.0008515,0.0008515,0.0008515
17,1732.81,1.91292,1.78679,1.4139,0.44743,0.44934,0.38577,0.16442,1.91849,1.72277,1.42828,0.0008416,0.0008416,0.0008416
18,1835.53,1.88491,1.70682,1.37872,0.5153,0.5041,0.49009,0.20008,1.95287,1.60906,1.47351,0.0008317,0.0008317,0.0008317
19,1936.15,1.86495,1.73644,1.40284,0.48141,0.504,0.45176,0.19024,1.86894,1.65379,1.43515,0.0008218,0.0008218,0.0008218
20,2037.78,1.85449,1.66659,1.37162,0.58173,0.56607,0.5301,0.24039,1.8352,1.49078,1.40443,0.0008119,0.0008119,0.0008119
21,2133.11,1.84626,1.68815,1.37315,0.53513,0.56722,0.50492,0.21978,1.87505,1.57908,1.40819,0.000802,0.000802,0.000802
22,2228.87,1.81789,1.63329,1.34811,0.55901,0.57672,0.53344,0.23185,1.92016,1.49715,1.46381,0.0007921,0.0007921,0.0007921
23,2328.36,1.82553,1.61805,1.34311,0.50706,0.50722,0.50957,0.21822,1.92958,1.59812,1.41616,0.0007822,0.0007822,0.0007822
24,2427.23,1.82681,1.62406,1.35729,0.53783,0.48955,0.46319,0.20694,1.88695,1.61025,1.41736,0.0007723,0.0007723,0.0007723
25,2527.55,1.82225,1.5988,1.35326,0.5757,0.53674,0.53573,0.236,1.94008,1.49363,1.47807,0.0007624,0.0007624,0.0007624
26,2628.6,1.81672,1.62021,1.35174,0.55231,0.5015,0.47475,0.21009,1.94096,1.57491,1.49029,0.0007525,0.0007525,0.0007525
27,2727.67,1.81889,1.61102,1.34329,0.61488,0.51202,0.53399,0.24392,1.84095,1.66772,1.37086,0.0007426,0.0007426,0.0007426
28,2825.14,1.79394,1.55855,1.34396,0.60947,0.57807,0.55381,0.25328,1.90532,1.54941,1.43118,0.0007327,0.0007327,0.0007327
29,2922.24,1.79054,1.55416,1.33712,0.60838,0.5568,0.56554,0.25285,1.82604,1.5376,1.38364,0.0007228,0.0007228,0.0007228
30,3019.19,1.78785,1.53936,1.32268,0.57281,0.54998,0.54057,0.25227,1.86654,1.45476,1.4098,0.0007129,0.0007129,0.0007129
31,3116.16,1.75759,1.53504,1.32264,0.66186,0.5326,0.6088,0.27252,1.84675,1.43519,1.3929,0.000703,0.000703,0.000703
1,110.577,2.46316,2.9739,1.72019,0.19229,0.3169,0.1461,0.0501,2.30051,2.5651,1.68884,0.0670346,0.000332984,0.000332984
2,214.434,2.31167,2.51198,1.66646,0.21605,0.36424,0.16169,0.06037,2.29799,2.59842,1.79741,0.034028,0.000659721,0.000659721
3,316.323,2.23931,2.39747,1.63104,0.29359,0.32591,0.19923,0.07368,2.1706,2.31159,1.67516,0.00101476,0.000979858,0.000979858
4,416.998,2.18959,2.25805,1.60502,0.23694,0.36319,0.18919,0.06875,2.26357,2.50094,1.67094,0.0009703,0.0009703,0.0009703
5,516.796,2.15397,2.18962,1.56334,0.31293,0.47428,0.24545,0.09914,2.10366,2.62542,1.57737,0.0009604,0.0009604,0.0009604
6,617.515,2.13094,2.15533,1.5517,0.36314,0.38138,0.27961,0.11071,2.09843,2.0546,1.57197,0.0009505,0.0009505,0.0009505
7,717.733,2.10504,2.04705,1.51621,0.34733,0.39757,0.28224,0.11947,2.11455,2.06933,1.56673,0.0009406,0.0009406,0.0009406
8,818.76,2.05344,2.02432,1.5049,0.33614,0.50161,0.28082,0.11757,1.97003,2.39391,1.47775,0.0009307,0.0009307,0.0009307
9,919.463,1.99939,1.96306,1.47894,0.36899,0.45641,0.33033,0.13725,2.00312,1.99361,1.53367,0.0009208,0.0009208,0.0009208
10,1018.6,2.00483,1.96033,1.47694,0.35681,0.4683,0.30683,0.12144,1.99196,2.03605,1.49641,0.0009109,0.0009109,0.0009109
1,100.277,2.44345,2.97298,1.70767,0.19832,0.22734,0.13413,0.04716,2.412,2.66741,1.64473,0.0670346,0.000332984,0.000332984
2,195.049,2.30418,2.46637,1.62723,0.21732,0.31486,0.15772,0.05754,2.23016,2.4958,1.6873,0.034028,0.000659721,0.000659721
3,291.313,2.25318,2.37782,1.62877,0.2691,0.35793,0.17501,0.06672,2.19662,2.68263,1.67897,0.00101476,0.000979858,0.000979858
4,388.934,2.18063,2.21777,1.56635,0.27156,0.40371,0.24988,0.08429,2.22163,2.21573,1.67284,0.0009703,0.0009703,0.0009703
5,489.295,2.13713,2.17117,1.54649,0.3767,0.43685,0.26196,0.10533,2.02624,2.34593,1.53787,0.0009604,0.0009604,0.0009604
6,588.189,2.12382,2.15305,1.52927,0.30737,0.40358,0.2614,0.10285,2.05482,2.21833,1.54717,0.0009505,0.0009505,0.0009505
7,687.392,2.08554,2.05483,1.50937,0.35563,0.47812,0.27761,0.11739,2.08133,2.61714,1.52989,0.0009406,0.0009406,0.0009406
8,787.1,2.06788,2.02235,1.49192,0.30515,0.46669,0.26954,0.10663,2.07597,2.55102,1.53089,0.0009307,0.0009307,0.0009307
9,887.052,2.00268,1.95975,1.45507,0.44992,0.40037,0.36493,0.15123,1.99717,2.01199,1.48226,0.0009208,0.0009208,0.0009208
10,986.315,2.02909,1.96958,1.48445,0.42501,0.44889,0.36386,0.14264,2.03887,1.90237,1.49348,0.0009109,0.0009109,0.0009109
11,1087.61,2.01436,1.92158,1.46315,0.37398,0.44314,0.30222,0.13113,1.93437,2.02747,1.44176,0.000901,0.000901,0.000901
12,1187.73,1.9902,1.89288,1.44338,0.48214,0.43432,0.35042,0.14601,1.98249,1.78755,1.47879,0.0008911,0.0008911,0.0008911
13,1285.68,1.95634,1.84237,1.43069,0.48581,0.48312,0.48553,0.19309,1.99214,1.69325,1.50204,0.0008812,0.0008812,0.0008812
14,1394.04,1.94188,1.78045,1.41524,0.4362,0.41495,0.38011,0.15357,1.98302,1.73735,1.52349,0.0008713,0.0008713,0.0008713
15,1494.86,1.93112,1.79271,1.40704,0.45304,0.44868,0.41286,0.18054,1.95677,1.70454,1.49725,0.0008614,0.0008614,0.0008614
16,1595.03,1.91804,1.79479,1.41548,0.44204,0.48662,0.4053,0.17331,1.93568,1.77011,1.46094,0.0008515,0.0008515,0.0008515
17,1697.23,1.91292,1.78679,1.4139,0.44743,0.44934,0.38577,0.16442,1.91849,1.72277,1.42828,0.0008416,0.0008416,0.0008416
18,1796.97,1.88491,1.70682,1.37872,0.5153,0.5041,0.49009,0.20008,1.95287,1.60906,1.47351,0.0008317,0.0008317,0.0008317
19,1897.37,1.86495,1.73644,1.40284,0.48141,0.504,0.45176,0.19024,1.86894,1.65379,1.43515,0.0008218,0.0008218,0.0008218
20,1997.53,1.85449,1.66659,1.37162,0.58173,0.56607,0.5301,0.24039,1.8352,1.49078,1.40443,0.0008119,0.0008119,0.0008119
21,2097.46,1.84626,1.68815,1.37315,0.53513,0.56722,0.50492,0.21978,1.87505,1.57908,1.40819,0.000802,0.000802,0.000802
22,2196.69,1.81789,1.63329,1.34811,0.55901,0.57672,0.53344,0.23185,1.92016,1.49715,1.46381,0.0007921,0.0007921,0.0007921
23,2297.63,1.82553,1.61805,1.34311,0.50706,0.50722,0.50957,0.21822,1.92958,1.59812,1.41616,0.0007822,0.0007822,0.0007822
24,2402.86,1.82681,1.62406,1.35729,0.53783,0.48955,0.46319,0.20694,1.88695,1.61025,1.41736,0.0007723,0.0007723,0.0007723
25,2515.39,1.82225,1.5988,1.35326,0.5757,0.53674,0.53573,0.236,1.94008,1.49363,1.47807,0.0007624,0.0007624,0.0007624
26,2632.59,1.81672,1.62021,1.35174,0.55231,0.5015,0.47475,0.21009,1.94096,1.57491,1.49029,0.0007525,0.0007525,0.0007525
27,2742.42,1.81889,1.61102,1.34329,0.61488,0.51202,0.53399,0.24392,1.84095,1.66772,1.37086,0.0007426,0.0007426,0.0007426
28,2841.52,1.79394,1.55855,1.34396,0.60947,0.57807,0.55381,0.25328,1.90532,1.54941,1.43118,0.0007327,0.0007327,0.0007327
29,2940.59,1.79054,1.55416,1.33712,0.60838,0.5568,0.56554,0.25285,1.82604,1.5376,1.38364,0.0007228,0.0007228,0.0007228
30,3038.7,1.78785,1.53936,1.32268,0.57281,0.54998,0.54057,0.25227,1.86654,1.45476,1.4098,0.0007129,0.0007129,0.0007129
31,3137.87,1.75759,1.53504,1.32264,0.66186,0.5326,0.6088,0.27252,1.84675,1.43519,1.3929,0.000703,0.000703,0.000703
32,3236.04,1.77296,1.48218,1.3137,0.63633,0.60748,0.5968,0.27468,1.83106,1.46947,1.37518,0.0006931,0.0006931,0.0006931
33,3334.74,1.75383,1.50167,1.30669,0.61459,0.52736,0.55619,0.2677,1.81884,1.50497,1.35764,0.0006832,0.0006832,0.0006832
34,3435.64,1.74537,1.49294,1.3081,0.66138,0.57158,0.60615,0.29368,1.80083,1.4558,1.37704,0.0006733,0.0006733,0.0006733
35,3535.77,1.72377,1.45365,1.2853,0.66793,0.56616,0.6043,0.26884,1.83331,1.48708,1.36734,0.0006634,0.0006634,0.0006634
36,3635.35,1.72768,1.4365,1.29564,0.66879,0.61672,0.64401,0.3049,1.7753,1.41138,1.36958,0.0006535,0.0006535,0.0006535
