epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9509.17,1.4968,3.03656,1.92635,0.63979,0.61427,0.66534,0.32321,1.74172,2.93085,2.00774,0.000414222,0.000414222,0.000414222
43,9684.6,1.48721,3.07171,1.9231,0.70272,0.58151,0.64583,0.31843,1.74214,3.00008,2.04637,0.000410262,0.000410262,0.000410262
44,9858.44,1.4873,3.05938,1.92177,0.59282,0.61161,0.62265,0.30059,1.79597,3.0664,2.06914,0.000406234,0.000406234,0.000406234
45,10032.9,1.47687,3.05228,1.91365,0.71419,0.54507,0.62734,0.30451,1.76413,3.08965,2.04976,0.000402138,0.000402138,0.000402138
46,10207.9,1.47043,2.972,1.91331,0.65215,0.62551,0.66954,0.33409,1.69398,2.84765,1.98948,0.000397977,0.000397977,0.000397977
47,10382.5,1.46152,2.9777,1.89679,0.67302,0.63992,0.68065,0.33804,1.72401,2.85897,2.01732,0.000393752,0.000393752,0.000393752
48,10557.1,1.46682,2.9924,1.89953,0.62891,0.63211,0.6604,0.32089,1.72762,2.89507,2.03494,0.000389464,0.000389464,0.000389464
49,10731,1.45987,2.91559,1.89338,0.70849,0.5992,0.67412,0.33489,1.6924,2.90432,1.9869,0.000385117,0.000385117,0.000385117
50,10904.1,1.47796,2.96057,1.91799,0.64763,0.6504,0.6786,0.33844,1.71125,2.81504,2.02927,0.000380712,0.000380712,0.000380712
51,11079.7,1.47064,2.9575,1.89877,0.66433,0.62198,0.66913,0.33989,1.70414,2.82254,2.01983,0.00037625,0.00037625,0.00037625
52,11254.8,1.45422,2.89411,1.88765,0.65993,0.62737,0.68085,0.34079,1.71468,2.80684,2.01924,0.000371734,0.000371734,0.000371734
53,11430,1.46171,2.88153,1.8988,0.67605,0.63367,0.67468,0.33307,1.72384,2.85798,2.02038,0.000367166,0.000367166,0.000367166
54,11676.1,1.45616,2.85338,1.88895,0.67719,0.64632,0.70435,0.35217,1.6806,2.78551,1.96131,0.000362547,0.000362547,0.000362547
55,12020.1,1.44108,2.82678,1.87608,0.64439,0.62928,0.67201,0.34304,1.64304,2.82408,1.95446,0.00035788,0.00035788,0.00035788
56,12193.5,1.44567,2.86711,1.88789,0.68151,0.64771,0.68856,0.35602,1.64484,2.75298,1.95243,0.000353167,0.000353167,0.000353167
57,12367.7,1.4516,2.87599,1.88835,0.63445,0.65086,0.68837,0.3546,1.65521,2.7308,2.0004,0.00034841,0.00034841,0.00034841
58,12542.2,1.42981,2.75046,1.86181,0.65494,0.66471,0.69663,0.35712,1.66222,2.69726,1.97367,0.000343611,0.000343611,0.000343611
59,12716.7,1.44334,2.84116,1.87345,0.67098,0.66502,0.71127,0.36931,1.63991,2.67183,1.94671,0.000338772,0.000338772,0.000338772
60,12893.3,1.43358,2.78763,1.86258,0.68725,0.6358,0.69318,0.35576,1.64139,2.72162,1.948,0.000333894,0.000333894,0.000333894
61,13068.7,1.4263,2.7578,1.86088,0.68154,0.623,0.68878,0.35796,1.65609,2.70553,1.94092,0.000328982,0.000328982,0.000328982
62,13255.7,1.41963,2.73525,1.85201,0.67003,0.66762,0.70775,0.36804,1.63022,2.65926,1.92547,0.000324035,0.000324035,0.000324035
63,13521,1.415,2.71746,1.85768,0.67137,0.63558,0.68176,0.34968,1.67458,2.74092,1.99598,0.000319058,0.000319058,0.000319058
