epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.42,1.99969,5.56458,2.40053,0.38368,0.27227,0.23498,0.07511,2.46575,6.08854,2.70102,9.96825e-05,9.96825e-05,0.0801632
2,471.676,1.89159,4.85007,2.33696,0.36356,0.33949,0.2756,0.09004,2.45782,5.27811,2.71834,0.00019967,0.00019967,0.0602632
3,618.08,1.87555,4.71349,2.30032,0.33071,0.3735,0.29536,0.09964,2.49594,5.57392,2.68558,0.000299609,0.000299609,0.0403631
4,882.775,1.8312,4.55005,2.27103,0.37594,0.33189,0.29376,0.10422,2.38273,5.28107,2.58635,0.000399463,0.000399463,0.020463
5,1027.26,1.79962,4.36821,2.23379,0.39677,0.40489,0.36338,0.12608,2.26735,5.72814,2.48154,0.000499194,0.000499194,0.000562687
6,1170.53,1.78271,4.2513,2.20799,0.50923,0.40751,0.41785,0.15573,2.20819,4.37465,2.4937,0.000499237,0.000499237,0.000499237
7,1374.95,1.75414,4.15717,2.165,0.37725,0.37325,0.34458,0.12909,2.37868,5.89718,2.56746,0.000498902,0.000498902,0.000498902
8,1684.79,1.73456,4.17145,2.15134,0.56248,0.40151,0.4134,0.15558,2.2593,4.15808,2.43182,0.000498505,0.000498505,0.000498505
9,1868.32,1.73593,4.06832,2.15599,0.4622,0.39988,0.39468,0.15548,2.19273,4.31073,2.49451,0.000498048,0.000498048,0.000498048
10,2144.96,1.72898,3.94581,2.13945,0.46572,0.46995,0.4665,0.1877,2.09945,3.96965,2.31405,0.000497531,0.000497531,0.000497531
11,2719.08,1.69089,3.91822,2.10703,0.45248,0.48901,0.44305,0.17438,2.1553,3.99845,2.45218,0.000496953,0.000496953,0.000496953
12,2934.08,1.68214,3.88473,2.10641,0.50996,0.46297,0.4763,0.20075,2.06535,3.97451,2.36756,0.000496315,0.000496315,0.000496315
13,3090.29,1.66482,3.69734,2.07729,0.48075,0.51835,0.46718,0.1899,2.06597,4.10079,2.33702,0.000495616,0.000495616,0.000495616
14,3311.93,1.66072,3.65949,2.09022,0.58305,0.46386,0.48896,0.19351,2.08409,3.92008,2.33698,0.000494858,0.000494858,0.000494858
15,3592.07,1.64852,3.6228,2.06776,0.53818,0.48665,0.52489,0.22445,2.01392,3.74324,2.29818,0.000494039,0.000494039,0.000494039
16,3734.33,1.64702,3.4929,2.06225,0.52421,0.47314,0.49435,0.19679,2.08477,3.8498,2.35536,0.000493162,0.000493162,0.000493162
17,3875.26,1.63253,3.53803,2.03683,0.56753,0.51855,0.51683,0.21789,1.96727,4.92258,2.22757,0.000492224,0.000492224,0.000492224
18,4016.18,1.63153,3.55188,2.04336,0.64195,0.50598,0.55162,0.21952,2.08958,3.50967,2.29507,0.000491228,0.000491228,0.000491228
19,4157.19,1.63235,3.54213,2.04928,0.68075,0.48659,0.57073,0.24195,2.00533,3.49126,2.24114,0.000490173,0.000490173,0.000490173
20,4299.81,1.59639,3.43282,2.02038,0.57734,0.539,0.58803,0.24172,1.97439,3.49479,2.23084,0.000489059,0.000489059,0.000489059
21,4442.77,1.60082,3.34664,2.00855,0.57974,0.51031,0.54808,0.23659,1.98497,3.61324,2.23895,0.000487886,0.000487886,0.000487886
22,4588.36,1.59048,3.38841,2.00775,0.54686,0.4864,0.52424,0.2319,1.97676,4.05627,2.26269,0.000486656,0.000486656,0.000486656
23,4735.06,1.59333,3.39703,2.01195,0.61077,0.49616,0.57225,0.24759,1.93255,3.45017,2.23815,0.000485368,0.000485368,0.000485368
24,4903.71,1.58943,3.39859,2.01701,0.56535,0.51633,0.56128,0.2421,2.0004,3.38698,2.25034,0.000484022,0.000484022,0.000484022
25,5133.95,1.58043,3.28581,1.98863,0.64753,0.55399,0.60696,0.27001,1.86837,3.30907,2.14461,0.00048262,0.00048262,0.00048262
26,5410.1,1.56027,3.25586,1.9771,0.59576,0.50478,0.53234,0.23123,2.01727,3.55459,2.26671,0.00048116,0.00048116,0.00048116
27,5832.82,1.5644,3.38237,1.99837,0.60445,0.54215,0.58293,0.25445,1.92559,3.25283,2.1952,0.000479644,0.000479644,0.000479644
28,6405.39,1.55169,3.19979,1.98295,0.59418,0.56601,0.60733,0.27739,1.87174,3.39121,2.15799,0.000478072,0.000478072,0.000478072
29,6803.98,1.56526,3.24433,1.98493,0.59381,0.52294,0.57471,0.26271,1.91721,3.3996,2.22608,0.000476445,0.000476445,0.000476445
30,7231.34,1.56642,3.20699,1.99066,0.65273,0.56858,0.62654,0.28236,1.86268,3.11226,2.16977,0.000474762,0.000474762,0.000474762
31,7670.92,1.55062,3.18342,1.96513,0.69274,0.53627,0.61261,0.2668,1.93969,3.35516,2.17183,0.000473024,0.000473024,0.000473024
32,8100.8,1.54444,3.19534,1.95821,0.56542,0.52028,0.56572,0.27338,1.80936,3.56567,2.13085,0.000471232,0.000471232,0.000471232
33,8358.4,1.54259,3.17338,1.95972,0.52938,0.54454,0.51506,0.22866,1.82321,3.67901,2.13546,0.000469386,0.000469386,0.000469386
34,8542.93,1.54492,3.23772,1.97272,0.65618,0.54564,0.60916,0.29196,1.80947,3.17877,2.09243,0.000467486,0.000467486,0.000467486
